,trialID,action,tot_t,blockID,obs_next,stage,obs,reward,is_done,t,transition,rewardplanet,randomplanet,highstate,p_reward_high,p_trans,p_ambiguity,p_reward_low
6,7,0,7,1,1.0,1,2.0,0.0,False,0,[1 1],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
7,8,0,8,1,1.0,1,1.0,1.0,False,0,[2 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
8,9,0,9,1,2.0,1,1.0,0.0,False,0,[2 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
9,10,0,10,1,2.0,1,2.0,0.0,False,0,[1 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
10,11,0,11,1,1.0,1,2.0,1.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
11,12,0,12,1,1.0,1,1.0,1.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
12,13,0,13,1,1.0,1,1.0,1.0,False,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
13,14,0,14,1,1.0,1,1.0,1.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
14,15,0,15,1,2.0,1,1.0,0.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
15,16,0,16,1,2.0,1,2.0,0.0,False,0,[1 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
16,17,0,17,1,1.0,1,2.0,1.0,False,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
17,18,0,18,1,1.0,1,1.0,1.0,False,0,[2 1],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
18,19,0,19,1,2.0,1,1.0,1.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
19,20,0,20,1,2.0,1,2.0,0.0,False,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
20,21,0,21,1,1.0,1,2.0,1.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
21,22,0,22,1,1.0,1,1.0,1.0,False,0,[2 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
22,23,0,23,1,2.0,1,1.0,0.0,False,0,[1 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
23,24,0,24,1,1.0,1,2.0,0.0,False,0,[2 2],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
24,25,0,25,1,2.0,1,1.0,0.0,False,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
25,26,0,26,1,1.0,1,2.0,1.0,False,0,[2 1],[0. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
26,27,0,27,1,2.0,1,1.0,1.0,False,0,[2 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
27,28,0,28,1,2.0,1,2.0,0.0,False,0,[2 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
28,29,0,29,1,2.0,1,2.0,1.0,False,0,[2 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
29,30,0,30,1,2.0,1,2.0,1.0,True,0,[1 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
0,1,0,1,1,2.0,1,2.0,1.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
1,2,1,2,1,2.0,1,2.0,1.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
2,3,0,3,1,1.0,1,2.0,0.0,False,0,[2 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
3,4,0,4,1,2.0,1,1.0,0.0,False,0,[2 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
4,5,0,5,1,2.0,1,2.0,0.0,False,0,[1 1],[1. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
5,6,1,6,1,1.0,1,2.0,1.0,False,0,[1 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
6,7,1,7,1,2.0,1,1.0,0.0,False,0,[2 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
7,8,1,8,1,2.0,1,2.0,0.0,False,0,[1 1],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
8,9,1,9,1,1.0,1,2.0,1.0,False,0,[2 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
9,10,1,10,1,2.0,1,1.0,1.0,False,0,[1 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
10,11,1,11,1,1.0,1,2.0,0.0,False,0,[2 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
11,12,1,12,1,1.0,1,1.0,0.0,False,0,[2 1],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
12,13,0,13,1,2.0,1,1.0,0.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
13,14,0,14,1,1.0,1,2.0,0.0,False,0,[2 2],[1. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
14,15,1,15,1,2.0,1,1.0,1.0,False,0,[1 1],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
15,16,0,16,1,1.0,1,2.0,1.0,False,0,[2 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
16,17,1,17,1,1.0,1,1.0,0.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
17,18,0,18,1,1.0,1,1.0,0.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
18,19,0,19,1,1.0,1,1.0,0.0,False,0,[2 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
19,20,0,20,1,2.0,1,1.0,1.0,False,0,[2 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
20,21,0,21,1,2.0,1,2.0,1.0,False,0,[1 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
21,22,0,22,1,1.0,1,2.0,0.0,False,0,[2 1],[1. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
22,23,0,23,1,2.0,1,1.0,1.0,False,0,[2 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
23,24,0,24,1,2.0,1,2.0,0.0,False,0,[2 2],[1. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
24,25,0,25,1,2.0,1,2.0,1.0,False,0,[2 1],[1. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
25,26,0,26,1,2.0,1,2.0,1.0,False,0,[1 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
26,27,0,27,1,1.0,1,2.0,0.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
27,28,0,28,1,1.0,1,1.0,0.0,False,0,[2 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
28,29,0,29,1,2.0,1,1.0,1.0,False,0,[2 1],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
29,30,0,30,1,2.0,1,2.0,0.0,True,0,[2 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
0,1,0,1,1,2.0,1,2.0,0.0,False,0,[2 2],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
1,2,1,2,1,2.0,1,2.0,0.0,False,0,[2 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
2,3,1,3,1,1.0,1,2.0,1.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
3,4,1,4,1,2.0,1,1.0,0.0,False,0,[1 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
4,5,1,5,1,2.0,1,2.0,1.0,False,0,[1 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
5,6,1,6,1,2.0,1,2.0,1.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
6,7,0,7,1,2.0,1,2.0,0.0,False,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
7,8,0,8,1,1.0,1,2.0,1.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
8,9,0,9,1,2.0,1,1.0,0.0,False,0,[1 2],[0. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
9,10,0,10,1,1.0,1,2.0,0.0,False,0,[1 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
10,11,0,11,1,1.0,1,1.0,1.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
11,12,0,12,1,1.0,1,1.0,1.0,False,0,[2 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
12,13,0,13,1,2.0,1,1.0,1.0,False,0,[1 1],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
13,14,0,14,1,1.0,1,2.0,1.0,False,0,[1 1],[0. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
14,15,0,15,1,1.0,1,1.0,0.0,False,0,[2 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
15,16,0,16,1,2.0,1,1.0,0.0,False,0,[2 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
16,17,0,17,1,2.0,1,2.0,0.0,False,0,[2 2],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
17,18,0,18,1,2.0,1,2.0,0.0,False,0,[2 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
18,19,0,19,1,2.0,1,2.0,0.0,False,0,[1 1],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
19,20,0,20,1,1.0,1,2.0,1.0,False,0,[2 1],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
20,21,0,21,1,2.0,1,1.0,1.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
21,22,0,22,1,2.0,1,2.0,0.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
22,23,0,23,1,1.0,1,2.0,1.0,False,0,[1 1],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
23,24,0,24,1,1.0,1,1.0,1.0,False,0,[1 1],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
24,25,0,25,1,1.0,1,1.0,1.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
25,26,0,26,1,1.0,1,1.0,1.0,False,0,[1 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
26,27,0,27,1,1.0,1,1.0,1.0,False,0,[2 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
27,28,0,28,1,2.0,1,1.0,0.0,False,0,[2 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
28,29,0,29,1,2.0,1,2.0,0.0,False,0,[2 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
29,30,0,30,1,2.0,1,2.0,1.0,True,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
0,1,0,1,1,1.0,1,2.0,1.0,False,0,[2 1],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
1,2,0,2,1,2.0,1,1.0,0.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
2,3,0,3,1,1.0,1,2.0,0.0,False,0,[2 2],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
3,4,0,4,1,2.0,1,1.0,0.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
4,5,0,5,1,1.0,1,2.0,0.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
5,6,0,6,1,1.0,1,1.0,0.0,False,0,[1 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
6,7,1,7,1,1.0,1,1.0,0.0,False,0,[2 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
7,8,1,8,1,2.0,1,1.0,0.0,False,0,[2 1],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
8,9,1,9,1,1.0,1,2.0,0.0,False,0,[2 2],[1. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
9,10,1,10,1,2.0,1,1.0,1.0,False,0,[1 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
10,11,1,11,1,2.0,1,2.0,0.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
11,12,1,12,1,2.0,1,2.0,1.0,False,0,[2 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
12,13,1,13,1,2.0,1,2.0,1.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
13,14,1,14,1,2.0,1,2.0,1.0,False,0,[2 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
14,15,1,15,1,2.0,1,2.0,1.0,False,0,[1 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
15,16,1,16,1,1.0,1,2.0,0.0,False,0,[1 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
16,17,1,17,1,2.0,1,1.0,0.0,False,0,[2 2],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
17,18,1,18,1,2.0,1,2.0,0.0,False,0,[2 2],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
18,19,1,19,1,2.0,1,2.0,0.0,False,0,[1 1],[1. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
19,20,0,20,1,1.0,1,2.0,1.0,False,0,[1 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
20,21,0,21,1,1.0,1,1.0,0.0,False,0,[1 2],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
21,22,1,22,1,2.0,1,1.0,0.0,False,0,[2 1],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
22,23,0,23,1,2.0,1,2.0,0.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
23,24,0,24,1,1.0,1,2.0,0.0,False,0,[2 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
24,25,1,25,1,2.0,1,1.0,0.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
25,26,0,26,1,1.0,1,2.0,0.0,False,0,[1 1],[1. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
26,27,1,27,1,1.0,1,1.0,1.0,False,0,[1 1],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
27,28,0,28,1,1.0,1,1.0,1.0,False,0,[1 1],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
28,29,0,29,1,1.0,1,1.0,0.0,False,0,[2 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
29,30,0,30,1,2.0,1,1.0,1.0,True,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
0,1,0,1,1,1.0,1,2.0,1.0,False,0,[2 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
1,2,0,2,1,2.0,1,1.0,0.0,False,0,[2 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
2,3,0,3,1,2.0,1,2.0,0.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
3,4,0,4,1,1.0,1,2.0,1.0,False,0,[2 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
4,5,0,5,1,2.0,1,1.0,0.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
5,6,0,6,1,2.0,1,2.0,0.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
6,7,0,7,1,2.0,1,2.0,0.0,False,0,[1 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
7,8,0,8,1,1.0,1,2.0,0.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
8,9,0,9,1,1.0,1,1.0,1.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
9,10,0,10,1,2.0,1,1.0,0.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
10,11,0,11,1,1.0,1,2.0,1.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
11,12,0,12,1,2.0,1,1.0,0.0,False,0,[2 1],[0. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
12,13,0,13,1,2.0,1,2.0,1.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
13,14,0,14,1,1.0,1,2.0,1.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
14,15,0,15,1,1.0,1,1.0,1.0,False,0,[2 2],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
15,16,0,16,1,2.0,1,1.0,0.0,False,0,[2 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
16,17,0,17,1,2.0,1,2.0,0.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
17,18,0,18,1,1.0,1,2.0,1.0,False,0,[2 2],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
18,19,0,19,1,2.0,1,1.0,0.0,False,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
19,20,0,20,1,1.0,1,2.0,1.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
20,21,0,21,1,1.0,1,1.0,1.0,False,0,[2 2],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
21,22,0,22,1,2.0,1,1.0,0.0,False,0,[2 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
22,23,0,23,1,2.0,1,2.0,0.0,False,0,[2 2],[0. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
23,24,0,24,1,2.0,1,2.0,1.0,False,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
24,25,0,25,1,1.0,1,2.0,1.0,False,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
25,26,0,26,1,1.0,1,1.0,1.0,False,0,[1 1],[0. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
26,27,0,27,1,1.0,1,1.0,0.0,False,0,[1 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
27,28,0,28,1,1.0,1,1.0,1.0,False,0,[1 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
28,29,0,29,1,1.0,1,1.0,0.0,False,0,[1 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
29,30,0,30,1,1.0,1,1.0,1.0,True,0,[2 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
0,1,0,1,1,1.0,1,1.0,1.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
1,2,0,2,1,1.0,1,1.0,1.0,False,0,[2 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
2,3,0,3,1,2.0,1,1.0,1.0,False,0,[1 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
3,4,1,4,1,2.0,1,2.0,1.0,False,0,[2 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
4,5,1,5,1,2.0,1,2.0,1.0,False,0,[2 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
5,6,1,6,1,1.0,1,2.0,1.0,False,0,[1 2],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
6,7,1,7,1,2.0,1,1.0,0.0,False,0,[2 2],[0. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
7,8,1,8,1,2.0,1,2.0,1.0,False,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
8,9,1,9,1,1.0,1,2.0,1.0,False,0,[2 1],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
9,10,1,10,1,1.0,1,1.0,1.0,False,0,[2 2],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
10,11,0,11,1,2.0,1,1.0,0.0,False,0,[1 1],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
11,12,0,12,1,1.0,1,2.0,1.0,False,0,[1 1],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
12,13,0,13,1,1.0,1,1.0,1.0,False,0,[2 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
13,14,0,14,1,2.0,1,1.0,1.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
14,15,0,15,1,1.0,1,2.0,1.0,False,0,[1 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
15,16,0,16,1,1.0,1,1.0,1.0,False,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
16,17,0,17,1,1.0,1,1.0,1.0,False,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
17,18,0,18,1,1.0,1,1.0,1.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
18,19,0,19,1,1.0,1,1.0,1.0,False,0,[2 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
19,20,0,20,1,2.0,1,1.0,0.0,False,0,[1 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
20,21,0,21,1,1.0,1,2.0,1.0,False,0,[2 2],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
21,22,0,22,1,2.0,1,1.0,0.0,False,0,[1 1],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
22,23,0,23,1,1.0,1,2.0,1.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
23,24,0,24,1,2.0,1,1.0,0.0,False,0,[1 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
24,25,0,25,1,1.0,1,2.0,1.0,False,0,[1 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
25,26,0,26,1,1.0,1,1.0,0.0,False,0,[2 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
26,27,0,27,1,2.0,1,1.0,1.0,False,0,[2 1],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
27,28,0,28,1,2.0,1,2.0,0.0,False,0,[1 2],[1. 1.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
28,29,0,29,1,1.0,1,2.0,1.0,False,0,[2 2],[1. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
29,30,0,30,1,2.0,1,1.0,0.0,True,0,[1 1],[0. 0.],,0,0.7,[0.5 0.5],0.0,0.30000000000000004
0,1,0,1,1,2.0,1,2.0,1.0,False,0,[1 1],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
1,2,0,2,1,1.0,1,2.0,1.0,False,0,[1 2],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
2,3,0,3,1,1.0,1,1.0,1.0,False,0,[2 2],[1. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
3,4,0,4,1,2.0,1,1.0,1.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
4,5,0,5,1,1.0,1,2.0,0.0,False,0,[1 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
5,6,0,6,1,1.0,1,1.0,0.0,False,0,[1 2],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
6,7,0,7,1,1.0,1,1.0,1.0,False,0,[2 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
7,8,0,8,1,2.0,1,1.0,0.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
8,9,0,9,1,1.0,1,2.0,0.0,False,0,[1 1],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
9,10,0,10,1,1.0,1,1.0,0.0,False,0,[1 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
10,11,1,11,1,1.0,1,1.0,0.0,False,0,[1 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
11,12,1,12,1,2.0,1,1.0,1.0,False,0,[1 1],[1. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
12,13,1,13,1,1.0,1,2.0,1.0,False,0,[2 2],[1. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
13,14,1,14,1,2.0,1,1.0,0.0,False,0,[1 1],[1. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
14,15,1,15,1,1.0,1,2.0,1.0,False,0,[1 2],[1. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
15,16,0,16,1,1.0,1,1.0,1.0,False,0,[2 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
16,17,0,17,1,2.0,1,1.0,0.0,False,0,[1 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
17,18,0,18,1,1.0,1,2.0,0.0,False,0,[2 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
18,19,0,19,1,2.0,1,1.0,1.0,False,0,[2 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
19,20,0,20,1,2.0,1,2.0,0.0,False,0,[1 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
20,21,0,21,1,1.0,1,2.0,0.0,False,0,[2 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
21,22,1,22,1,1.0,1,1.0,0.0,False,0,[2 2],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
22,23,1,23,1,2.0,1,1.0,1.0,False,0,[2 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
23,24,1,24,1,1.0,1,2.0,0.0,False,0,[2 2],[0. 0.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
24,25,1,25,1,2.0,1,1.0,0.0,False,0,[1 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
25,26,1,26,1,1.0,1,2.0,0.0,False,0,[1 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
26,27,1,27,1,1.0,1,1.0,0.0,False,0,[2 1],[0. 1.],,1,0.7,[0.5 0.5],0.0,0.30000000000000004
